pit_tag,date,visist.per.id,nest.id,sex,band.number,habitat,Number.of.SOSP.nestlings,SOSP.Age,Number.of.BHCO.Nestlings,year,Cuckolding.identified.by.any.method.95.,cuck.95,Cuckolding.identified.by.any.method.80.,X..of.epp.offspring.in.nest,X..of.offspring.sampled.that.are.epp
0620000A58,0018-06-19T04:56:02Z,3.608647136,08vnb18,male,277149518,urban,1,6,0,2018,1,yes,1,1,1
0620000A58,0018-06-21T04:56:02Z,4.226657604,08vnb18,male,277149518,urban,1,8,0,2018,1,yes,1,1,1
0620000A13,0018-06-22T04:56:02Z,4.513274336,08vnb18,female,271176124,urban,1,9,0,2018,1,yes,1,1,1
0620000A13,0018-06-19T04:56:02Z,4.5417718,08vnb18,female,271176124,urban,1,6,0,2018,1,yes,1,1,1
0620000A13,0018-06-18T04:56:02Z,5.000057871,08vnb18,female,271176124,urban,4,5,0,2018,1,yes,1,1,1
0620000A13,0018-06-21T04:56:02Z,5.097230935,08vnb18,female,271176124,urban,1,8,0,2018,1,yes,1,1,1
0620000A13,0018-06-17T04:56:02Z,5.125355927,08vnb18,female,271176124,urban,4,4,0,2018,1,yes,1,1,1
0620000A13,0018-06-16T04:56:02Z,5.250060765,08vnb18,female,271176124,urban,4,3,0,2018,1,yes,1,1,1
0620000A13,0018-06-20T04:56:02Z,5.324441337,08vnb18,female,271176124,urban,1,7,0,2018,1,yes,1,1,1
0620000A58,0018-06-15T04:56:02Z,5.824034513,08vnb18,male,277149518,urban,4,2,0,2018,1,yes,1,1,1
0620000A58,0018-06-16T04:56:02Z,6.287523196,08vnb18,male,277149518,urban,4,3,0,2018,1,yes,1,1,1
0620000A13,0018-06-15T04:56:02Z,6.879655037,08vnb18,female,271176124,urban,4,2,0,2018,1,yes,1,1,1
0620000A58,0018-06-17T04:56:02Z,7.020431531,08vnb18,male,277149518,urban,4,4,0,2018,1,yes,1,1,1
0620000A58,0018-06-18T04:56:02Z,10.00888923,08vnb18,male,277149518,urban,4,5,0,2018,1,yes,1,1,1
06200002B8,0018-05-22T04:56:02Z,2.521832532,09sjl18,male,277149428,urban,1,0,1,2018,1,yes,1,2,1
06200002B8,0018-06-02T04:56:02Z,5.408271474,09sjl18,male,277149428,urban,2,11,1,2018,1,yes,1,2,1
06200002F1,0018-05-31T04:56:02Z,5.638214565,09sjl18,female,277149463,urban,2,9,1,2018,1,yes,1,2,1
06200002B8,0018-05-23T04:56:02Z,5.778003041,09sjl18,male,277149428,urban,2,1,1,2018,1,yes,1,2,1
06200002B8,0018-05-24T04:56:02Z,6.175868366,09sjl18,male,277149428,urban,2,2,1,2018,1,yes,1,2,1
06200002F1,0018-06-01T04:56:02Z,6.314948042,09sjl18,female,277149463,urban,2,10,1,2018,1,yes,1,2,1
06200002B8,0018-05-25T04:56:02Z,6.499990788,09sjl18,male,277149428,urban,2,3,1,2018,1,yes,1,2,1
06200002B8,0018-06-01T04:56:02Z,7.378232432,09sjl18,male,277149428,urban,2,10,1,2018,1,yes,1,2,1
06200002B8,0018-05-27T04:56:02Z,8.130999435,09sjl18,male,277149428,urban,2,5,1,2018,1,yes,1,2,1
06200002B8,0018-05-26T04:56:02Z,8.280998978,09sjl18,male,277149428,urban,2,4,1,2018,1,yes,1,2,1
06200002F1,0018-05-27T04:56:02Z,8.791054716,09sjl18,female,277149463,urban,2,5,1,2018,1,yes,1,2,1
